Dataset,Question,True Answer,Retriever,Generator,K,Predicted Answer
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Dense_1_MiniLM,T5_Base,0,saturday night s
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Dense_1_MiniLM,T5_Base,1,ASPECTS OF LOVE
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Dense_1_MiniLM,T5_Base,5,ASPECTS OF LOVE
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Dense_1_MiniLM,T5_Base,10,West End
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Dense_2_MPNet,T5_Small,0,saturday night
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Dense_2_MPNet,T5_Small,1,adolf s s s s s s s s s s s s s s s s s s s s s s
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Dense_2_MPNet,T5_Small,5,The Phantom of the Opera
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Dense_2_MPNet,T5_Small,10,What is the name of the show that was opened in Los Angeles?
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Dense_2_MPNet,T5_Base,0,saturday night s
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Dense_2_MPNet,T5_Base,1,Matrix
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Dense_2_MPNet,T5_Base,5,The Phantom of the Opera
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Dense_2_MPNet,T5_Base,10,Which of the following is true of Andrew Lloyd Webber?
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Sparse_BM25,T5_Small,0,saturday night
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Sparse_BM25,T5_Small,1,ASPECTS OF LOVE
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Sparse_BM25,T5_Small,5,ASPECTS OF LOVE
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Sparse_BM25,T5_Small,10,Sunset Boulevard
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Sparse_BM25,T5_Base,0,saturday night s
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Sparse_BM25,T5_Base,1,ASPECTS OF LOVE
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Sparse_BM25,T5_Base,5,Sunset Boulevard
TriviaQA,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,Sparse_BM25,T5_Base,10,Sunset Boulevard
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Dense_1_MiniLM,T5_Small,0,john dick
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Dense_1_MiniLM,T5_Small,1,Andrew Bonar Law
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Dense_1_MiniLM,T5_Small,5,David Lloyd George
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Dense_1_MiniLM,T5_Small,10,Andrew Bonar Law
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Dense_1_MiniLM,T5_Base,0,henry viii
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Dense_1_MiniLM,T5_Base,1,Andrew Bonar Law
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Dense_1_MiniLM,T5_Base,5,David Lloyd George
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Dense_1_MiniLM,T5_Base,10,David Lloyd George
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Dense_2_MPNet,T5_Small,0,john dick
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Dense_2_MPNet,T5_Small,1,Andrew Bonar Law
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Dense_2_MPNet,T5_Small,5,Andrew Bonar Law
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Dense_2_MPNet,T5_Small,10,David Lloyd George
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Dense_2_MPNet,T5_Base,0,henry viii
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Dense_2_MPNet,T5_Base,1,Andrew Bonar Law
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Dense_2_MPNet,T5_Base,5,Andrew Bonar Law
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Dense_2_MPNet,T5_Base,10,David Lloyd George
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Sparse_BM25,T5_Small,0,john dick
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Sparse_BM25,T5_Small,1,john dick
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Sparse_BM25,T5_Small,5,Sir Henry Campbell-Bannerman
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Sparse_BM25,T5_Small,10,Sir Henry Campbell-Bannerman
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Sparse_BM25,T5_Base,0,henry viii
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Sparse_BM25,T5_Base,1,Arthur Balfour
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Sparse_BM25,T5_Base,5,Sir Henry Campbell-Bannerman
TriviaQA,Who was the next British Prime Minister after Arthur Balfour?,campbell bannerman,Sparse_BM25,T5_Base,10,Sir Henry Campbell-Bannerman
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Dense_1_MiniLM,T5_Small,0,john scott
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Dense_1_MiniLM,T5_Small,1,Steve Goetzman
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Dense_1_MiniLM,T5_Small,5,The Beatles
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Dense_1_MiniLM,T5_Small,10,"The Beatles first single, Love Me Do, only reached number 17 in the UK"
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Dense_1_MiniLM,T5_Base,0,johnny mccartney
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Dense_1_MiniLM,T5_Base,1,Jimmy Stokley
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Dense_1_MiniLM,T5_Base,5,The Beatles
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Dense_1_MiniLM,T5_Base,10,Michael
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Dense_2_MPNet,T5_Small,0,john scott
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Dense_2_MPNet,T5_Small,1,john scott
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Dense_2_MPNet,T5_Small,5,Steve Goetzman
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Dense_2_MPNet,T5_Small,10,The Beatles
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Dense_2_MPNet,T5_Base,0,johnny mccartney
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Dense_2_MPNet,T5_Base,1,Exile
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Dense_2_MPNet,T5_Base,5,Jimmy Stokley
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Dense_2_MPNet,T5_Base,10,Michael Jackson
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Sparse_BM25,T5_Small,0,john scott
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Sparse_BM25,T5_Small,1,a babe
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Sparse_BM25,T5_Small,5,Exile - I Wanna Kiss You All Over
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Sparse_BM25,T5_Small,10,babe
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Sparse_BM25,T5_Base,0,johnny mccartney
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Sparse_BM25,T5_Base,1,Freddie Mercury
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Sparse_BM25,T5_Base,5,Exile
TriviaQA,Who had a 70s No 1 hit with Kiss You All Over?,exile,Sparse_BM25,T5_Base,10,"I want to taste your lips I wanna fill your fantasy, yeah"
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Dense_1_MiniLM,T5_Small,0,a saxophone
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Dense_1_MiniLM,T5_Small,1,fame
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Dense_1_MiniLM,T5_Small,5,fame
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Dense_1_MiniLM,T5_Small,10,The Lancashire-born contralto
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Dense_1_MiniLM,T5_Base,0,syphilis
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Dense_1_MiniLM,T5_Base,1,death
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Dense_1_MiniLM,T5_Base,5,her career was tragically short
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Dense_1_MiniLM,T5_Base,10,Second World War
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Dense_2_MPNet,T5_Small,0,a saxophone
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Dense_2_MPNet,T5_Small,1,fame
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Dense_2_MPNet,T5_Small,5,"a stage, concert and recording artist"
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Dense_2_MPNet,T5_Small,10,Kathleen Ferrier Biography
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Dense_2_MPNet,T5_Base,0,syphilis
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Dense_2_MPNet,T5_Base,1,death
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Dense_2_MPNet,T5_Base,5,her career was tragically short
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Dense_2_MPNet,T5_Base,10,Kathleen Ferrier's life was not a tragic one
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Sparse_BM25,T5_Small,0,a saxophone
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Sparse_BM25,T5_Small,1,the most significant British female singer to emerge after the end of the Second World War in 1945
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Sparse_BM25,T5_Small,5,(4).
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Sparse_BM25,T5_Small,10,(4).
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Sparse_BM25,T5_Base,0,syphilis
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Sparse_BM25,T5_Base,1,Second World War
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Sparse_BM25,T5_Base,5,Second World War
TriviaQA,What claimed the life of singer Kathleen Ferrier?,cancer,Sparse_BM25,T5_Base,10,Second World War
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Dense_1_MiniLM,T5_Small,0,sex
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Dense_1_MiniLM,T5_Small,1,Octopussy
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Dense_1_MiniLM,T5_Small,5,OCTOPUSSY
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Dense_1_MiniLM,T5_Small,10,"year hiatus, the Bond series rebooted with 1995's ""GoldenEye"" and Pierce Brosnan in the lead role."
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Dense_1_MiniLM,T5_Base,0,british intelligence agency
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Dense_1_MiniLM,T5_Base,1,Octopussy
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Dense_1_MiniLM,T5_Base,5,Octopussy
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Dense_1_MiniLM,T5_Base,10,year hiatus
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Dense_2_MPNet,T5_Small,0,sex
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Dense_2_MPNet,T5_Small,1,OCTOPUSSY
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Dense_2_MPNet,T5_Small,5,Octopussy
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Dense_2_MPNet,T5_Small,10,Rita Coolidge
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Dense_2_MPNet,T5_Base,0,british intelligence agency
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Dense_2_MPNet,T5_Base,1,OCTOPUSSY
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Dense_2_MPNet,T5_Base,5,Octopussy
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Dense_2_MPNet,T5_Base,10,theme-song singer
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Sparse_BM25,T5_Small,0,sex
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Sparse_BM25,T5_Small,1,All Time High
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Sparse_BM25,T5_Small,5,OCTOPUSSY
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Sparse_BM25,T5_Small,10,What is the name of the song that was written by Rita Coolidge?
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Sparse_BM25,T5_Base,0,british intelligence agency
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Sparse_BM25,T5_Base,1,Octopussy
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Sparse_BM25,T5_Base,5,OCTOPUSSY
TriviaQA,Rita Coolidge sang the title song for which Bond film?,octopussy,Sparse_BM25,T5_Base,10,What is the title of the song that Rita Coolidge sang?
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Dense_1_MiniLM,T5_Small,0,san francisco
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Dense_1_MiniLM,T5_Small,1,(iii).
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Dense_1_MiniLM,T5_Small,5,Utah
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Dense_1_MiniLM,T5_Small,10,Mississippi
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Dense_1_MiniLM,T5_Base,0,california
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Dense_1_MiniLM,T5_Base,1,California
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Dense_1_MiniLM,T5_Base,5,Utah
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Dense_1_MiniLM,T5_Base,10,Mississippi
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Dense_2_MPNet,T5_Small,0,san francisco
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Dense_2_MPNet,T5_Small,1,Mississippi
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Dense_2_MPNet,T5_Small,5,Mississippi
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Dense_2_MPNet,T5_Small,10,Maine
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Dense_2_MPNet,T5_Base,0,california
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Dense_2_MPNet,T5_Base,1,Mississippi
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Dense_2_MPNet,T5_Base,5,Utah
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Dense_2_MPNet,T5_Base,10,(iii).
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Sparse_BM25,T5_Small,0,san francisco
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Sparse_BM25,T5_Small,1,d.
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Sparse_BM25,T5_Small,5,Mississippi
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Sparse_BM25,T5_Small,10,Mississippi
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Sparse_BM25,T5_Base,0,california
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Sparse_BM25,T5_Base,1,New York
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Sparse_BM25,T5_Base,5,New Jersey
TriviaQA,What was the last US state to reintroduce alcohol after prohibition?,utah,Sparse_BM25,T5_Base,10,New Jersey
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Dense_1_MiniLM,T5_Small,0,elizabeth scott
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Dense_1_MiniLM,T5_Small,1,Bacall
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Dense_1_MiniLM,T5_Small,5,(iii)
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Dense_1_MiniLM,T5_Small,10,Miss Greenwich Village
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Dense_1_MiniLM,T5_Base,0,elizabeth sandler
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Dense_1_MiniLM,T5_Base,1,Bacall
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Dense_1_MiniLM,T5_Base,5,Lauren Bacall
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Dense_1_MiniLM,T5_Base,10,Miss Greenwich Village
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Dense_2_MPNet,T5_Small,0,elizabeth scott
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Dense_2_MPNet,T5_Small,1,Frank Sinatra
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Dense_2_MPNet,T5_Small,5,Bacall
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Dense_2_MPNet,T5_Small,10,                        
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Dense_2_MPNet,T5_Base,0,elizabeth sandler
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Dense_2_MPNet,T5_Base,1,Bacal
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Dense_2_MPNet,T5_Base,5,Bacall
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Dense_2_MPNet,T5_Base,10,                        
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Sparse_BM25,T5_Small,0,elizabeth scott
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Sparse_BM25,T5_Small,1,Lauren Bacall
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Sparse_BM25,T5_Small,5,Lauren Bacall
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Sparse_BM25,T5_Small,10,Lauren Bacall won Miss Greenwich Village
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Sparse_BM25,T5_Base,0,elizabeth sandler
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Sparse_BM25,T5_Base,1,Lauren Bacall
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Sparse_BM25,T5_Base,5,Lauren Bacall
TriviaQA,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Sparse_BM25,T5_Base,10,Miss Florida
TriviaQA,What is the Japanese share index called?,nikkei,Dense_1_MiniLM,T5_Small,0,yen
TriviaQA,What is the Japanese share index called?,nikkei,Dense_1_MiniLM,T5_Small,1,yen
TriviaQA,What is the Japanese share index called?,nikkei,Dense_1_MiniLM,T5_Small,5,Nikkei Dow Jones Stock Average
TriviaQA,What is the Japanese share index called?,nikkei,Dense_1_MiniLM,T5_Small,10,Nikkei Dow Jones Stock Average
TriviaQA,What is the Japanese share index called?,nikkei,Dense_1_MiniLM,T5_Base,0,yen
TriviaQA,What is the Japanese share index called?,nikkei,Dense_1_MiniLM,T5_Base,1,Nikkei
TriviaQA,What is the Japanese share index called?,nikkei,Dense_1_MiniLM,T5_Base,5,Nikkei
TriviaQA,What is the Japanese share index called?,nikkei,Dense_1_MiniLM,T5_Base,10,Nikkei
TriviaQA,What is the Japanese share index called?,nikkei,Dense_2_MPNet,T5_Small,0,yen
TriviaQA,What is the Japanese share index called?,nikkei,Dense_2_MPNet,T5_Small,1,Nikkei
TriviaQA,What is the Japanese share index called?,nikkei,Dense_2_MPNet,T5_Small,5,Nikkei 225 Stock Average
TriviaQA,What is the Japanese share index called?,nikkei,Dense_2_MPNet,T5_Small,10,Nikkei 225 Stock Average
TriviaQA,What is the Japanese share index called?,nikkei,Dense_2_MPNet,T5_Base,0,yen
TriviaQA,What is the Japanese share index called?,nikkei,Dense_2_MPNet,T5_Base,1,Nikkei
TriviaQA,What is the Japanese share index called?,nikkei,Dense_2_MPNet,T5_Base,5,Nikkei 225 Stock Average
TriviaQA,What is the Japanese share index called?,nikkei,Dense_2_MPNet,T5_Base,10,Nikkei 225 Stock Average
TriviaQA,What is the Japanese share index called?,nikkei,Sparse_BM25,T5_Small,0,yen
TriviaQA,What is the Japanese share index called?,nikkei,Sparse_BM25,T5_Small,1,Nikkei 225 Stock Average
TriviaQA,What is the Japanese share index called?,nikkei,Sparse_BM25,T5_Small,5,Nikkei 225 Stock Average
TriviaQA,What is the Japanese share index called?,nikkei,Sparse_BM25,T5_Small,10,Nikkei 225 Stock Average
TriviaQA,What is the Japanese share index called?,nikkei,Sparse_BM25,T5_Base,0,yen
TriviaQA,What is the Japanese share index called?,nikkei,Sparse_BM25,T5_Base,1,Nikkei 225 Stock Average
TriviaQA,What is the Japanese share index called?,nikkei,Sparse_BM25,T5_Base,5,Nikkei 225 Stock Average
TriviaQA,What is the Japanese share index called?,nikkei,Sparse_BM25,T5_Base,10,Nikkei 225 Stock Average
TriviaQA,What was the name of Michael Jackson's autobiography written in 1988?,moonwalk,Dense_1_MiniLM,T5_Small,0,san francisco
TriviaQA,What was the name of Michael Jackson's autobiography written in 1988?,moonwalk,Dense_1_MiniLM,T5_Small,1,symphonic symphonic symphonic symphonic symphonic symphonic symphonic symphonic symphonic symphonic
TriviaQA,What was the name of Michael Jackson's autobiography written in 1988?,moonwalk,Dense_1_MiniLM,T5_Small,5,Moon Walk
TriviaQA,What was the name of Michael Jackson's autobiography written in 1988?,moonwalk,Dense_1_MiniLM,T5_Small,10,Thriller was released
TriviaQA,What was the name of Michael Jackson's autobiography written in 1988?,moonwalk,Dense_1_MiniLM,T5_Base,0,i m a millionaire
TriviaQA,What was the name of Michael Jackson's autobiography written in 1988?,moonwalk,Dense_1_MiniLM,T5_Base,1,All Michael Jackson Biography History
TriviaQA,What was the name of Michael Jackson's autobiography written in 1988?,moonwalk,Dense_1_MiniLM,T5_Base,5,1988 Moon Walk
TriviaQA,What was the name of Michael Jackson's autobiography written in 1988?,moonwalk,Dense_1_MiniLM,T5_Base,10,Thriller
TriviaQA,What was the name of Michael Jackson's autobiography written in 1988?,moonwalk,Dense_2_MPNet,T5_Small,0,san francisco
TriviaQA,What was the name of Michael Jackson's autobiography written in 1988?,moonwalk,Dense_2_MPNet,T5_Small,1,minibiography
TriviaQA,What was the name of Michael Jackson's autobiography written in 1988?,moonwalk,Dense_2_MPNet,T5_Small,5,Moonwalk
